fieldId,fieldName,tooltipText
dimosia_dioikisi,ΔΗΜΟΣΙΑ ΔΙΟΙΚΗΣΗ - ΔΗΜΟΣΙΑ ΤΑΞΗ - ΔΙΚΑΙΟΣΥΝΗ,"Τομέας νομοθέτησης επί θεμάτων Υπουργείου Εσωτερικών, Υπουργείου Ψηφιακής Διακυβέρνησης, Υπουργείου Προστασίας του Πολίτη και Υπουργείου Δικαιοσύνης"
anaptiksi,ΑΝΑΠΤΥΞΗ - ΕΠΕΝΔΥΤΙΚΗ ΔΡΑΣΤΗΡΙΟΤΗΤΑ,"Τομέας νομοθέτησης επί θεμάτων Υπουργείου Ανάπτυξης & Επενδύσεων, Υπουργείου Περιβάλλοντος & Ενέργειας, Υπουργείου Υποδομών & Μεταφορών, Υπουργείου Ναυτιλίας & Νησιωτικής Πολιτικής, Υπουργείου Αγροτικής Ανάπτυξης & Τροφίμων και Υπουργείου Τουρισμού."
,Α. Αιτιολογική έκθεση,
field_1,1. Ποιο ζήτημα αντιμετωπίζει η αξιολογούμενη ρύθμιση,Εντοπίζεται και καταγράφεται το ζήτημα που επιδιώκει να αντιμετωπίσει η αξιολογούμενη ρύθμιση (συνιστάται η αποφυγή ιστορικής αναδρομής).
field_2,2. Γιατί αποτελεί πρόβλημα,Προσδιορίζονται οι λόγοι που επιβάλλουν την αντιμετώπιση του ζητήματος / Αναφορά στις συγκεκριμένες δυσμενείς συνέπειες που προκαλούνται ή θα προκληθούν μελλοντικά αν δεν ρυθμιστεί το θέμα.
field_3,3. Ποιους φορείς ή πληθυσμιακές ομάδες αφορά,Καταγράφεται η κατηγορία ατόμων ή ομάδων ή φορέων που θα ωφελήσει η εφαρμογή της ρύθμισης / Αναφορά στον εκτιμώμενο αριθμό -εφόσον υπάρχει- ατόμων ή oμάδων ή φορέων που θα επηρεαστούν από την αξιολογούμενη ρύθμιση / Ειδική αναφορά εάν η ρύθμιση αφορά σε συγκεκριμένες ευάλωτες πληθυσμιακές ομάδες.
field_4,4. Το εν λόγω ζήτημα έχει αντιμετωπιστεί με νομοθετική ρύθμιση στο παρελθόν,"Σημειώνεται με Χ το αντίστοιχο εικονίδιο  (ναι ή όχι ) / Η απάντηση είναι θετική εάν υπάρχουν ρυθμίσεις που τροποποιούνται, καταργούνται, συμπληρώνονται ή αντικαθίστανται από την αξιολογούμενη ρύθμιση."
field_4_1,4.1 Ποιο είναι το ισχύον νομικό πλαίσιο που ρυθμίζει το ζήτημα,"Στην περίπτωση θετικής απάντησης να γίνει μόνο απλή παράθεση των σχετικών ρυθμίσεων με τη μορφή: «Αριθμός νομοθετήματος, αριθμός ΦΕΚ, σχετικό άρθρο, σχετική παράγραφος»."
,5. Γιατί δεν είναι δυνατό να αντιμετωπιστεί στο πλαίσιο της υφιστάμενης νομοθεσίας:,Παρατίθενται οι λόγοι που οι ισχύουσες νομοθετικές ρυθμίσεις (πεδίο 4) δεν αντιμετωπίζουν το πρόβλημα που περιγράφηκε στο πεδίο 1
field_5_1,"5.1 με αλλαγή προεδρικού διατάγματος, υπουργικής απόφασης ή άλλης κανονιστικής πράξης;",Παρατίθενται οι λόγοι που μία τέτοια αλλαγή δεν θα αντιμετώπιζε το πρόβλημα που περιγράφηκε στο πεδίο 1
field_5_2,5.2 με αλλαγή διοικητικής πρακτικής συμπεριλαμβανομένης της δυνατότητας νέας ερμηνευτικής προσέγγισης της υφιστάμενης νομοθεσίας,Παρατίθενται οι λόγοι που μία τέτοια αλλαγή δεν θα αντιμετώπιζε το πρόβλημα που περιγράφηκε στο πεδίο 1
field_5_3,5.3 με διάθεση περισσότερων ανθρώπινων και υλικών πόρων,Παρατίθενται οι λόγοι που μία τέτοια λύση δεν θα αντιμετώπιζε το πρόβλημα που περιγράφηκε στο πεδίο 1
field_6,6. Έχετε λάβει υπόψη συναφείς πρακτικές,Σημειώνεται με Χ το αντίστοιχο εικονίδιο  (ναι ή όχι ) / Η απάντηση είναι θετική μόνο εφόσον υπάρχουν συγκρίσιμες πρακτικές που αποδεδειγμένα φέρουν αποτελέσματα.
field_6_1,6.1 Σε άλλη/ες χώρα/ες της Ε.Ε. ή του ΟΟΣΑ:,Καταγράφονται συγκρίσιμες πρακτικές που έχουν εφαρμοστεί σε αντίστοιχες περιπτώσεις σε άλλη/ες χώρα/ες της Ε.Ε. ή του ΟΟΣΑ
field_6_2,6.2 Σε όργανα της Ε.Ε.:,Καταγράφονται συγκρίσιμες πρακτικές που έχουν εφαρμοστεί σε αντίστοιχες περιπτώσεις σε όργανα της Ε.Ε.
field_6_3,6.3 Σε διεθνείς οργανισμούς:,Καταγράφονται συγκρίσιμες πρακτικές που έχουν εφαρμοστεί σε αντίστοιχες περιπτώσεις σε διεθνείς οργανισμούς
field_7_wrap,7. Σημειώστε ποιοι από τους στόχους βιώσιμης ανάπτυξης των Ηνωμένων Εθνών επιδιώκονται με την αξιολογούμενη ρύθμιση,Σημειώνεται με Χ το/τα εικονίδιο/α από τους 17 στόχους που έχει θέσει ο ΟΗΕ για τη βιώσιμη ανάπτυξη και αντιστοιχεί/ούν στους στόχους της αξιολογούμενης ρύθμισης.
,8. Ποιοι είναι οι στόχοι της αξιολογούμενης ρύθμισης,"Περιγράφονται οι επιδιωκόμενοι με την αξιολογούμενη ρύθμιση στόχοι και γίνεται διάκριση, όπου συντρέχει περίπτωση, μεταξύ βραχυπρόθεσμων και μακροπρόθεσμων στόχων. "
Field_8_1,8.1 βραχυπρόθεσμοι:,Η χρονική περίοδος αναφοράς της έννοιας «βραχυπρόθεσμο» διαφέρει ανάλογα με το αντικείμενο της αξιολογούμενης ρύθμισης και γι’ αυτό εναπόκειται στον συντάκτη της Ανάλυσης ο συγκεκριμένος προσδιορισμός της διάκρισης.
Field_8_2,8.2 μακροπρόθεσμοι:,Η χρονική περίοδος αναφοράς της έννοιας «μακροπρόθεσμο» διαφέρει ανάλογα με το αντικείμενο της αξιολογούμενης ρύθμισης και γι’ αυτό εναπόκειται στον συντάκτη της Ανάλυσης ο συγκεκριμένος προσδιορισμός της διάκρισης.
,9.Ειδικότεροι στόχοι ανάλογα με τον τομέα νομοθέτησης,"Οι δείκτες είναι ενδεικτικοί, επιλέγονται ανάλογα με το αντικείμενο της αξιολογούμενης ρύθμισης, επιδέχονται εμπλουτισμού και μπορούν να προσαρμοστούν στην αξιολογούμενη ρύθμιση. "
index_label,ΑΛΛΟΙ ΠΡΟΤΕΙΝΟΜΕΝΟΙ ΔΕΙΚΤΕΣ,"Δύναται να ενταχθούν εξατομικευμένοι νέοι δείκτες, ανάλογα με το πλαίσιο της αξιολογούμενης ρύθμισης. "
index_five,Εξέλιξη την τελευταία 5ετία,Καταγράφονται τα στοιχεία για τα πέντε έτη πριν από το τρέχον ημερολογιακό έτος.
index_recent,Πρόσφατα στοιχεία,Καταγράφονται τα στοιχεία του τρέχοντος ημερολογιακού έτους
index_three,Επιδιωκόμενος στόχος (3ετία),Καταγράφονται οι επιδιωκόμενοι με την αξιολογούμενη ρύθμιση στόχοι για την επόμενη τριετία (πλην του τρέχοντος έτους) 
,"10. Σε περίπτωση που προβλέπεται η χρήση πληροφοριακού συστήματος, ποια θα είναι η συμβολή αυτού στην επίτευξη των στόχων της αξιολογούμενης ρύθμισης:",Πρόκειται για μη υποχρεωτικό πεδίο. Συμπληρώνεται στην περίπτωση που προβλέπεται η χρήση πληροφοριακού συστήματος για την επίτευξη των στόχων της αξιολογούμενης ρύθμισης.
field_10_amesi,ΑΜΕΣΗ,Σημειώνεται με Χ το αντίστοιχο εικονίδιο
field_10_amesi_comments,"Εάν είναι άμεση, εξηγήστε:",Καταγράφεται σε τι συνίσταται η άμεση συμβολή του προτεινόμενου πληροφοριακού συστήματος για την εφαρμογή των στόχων της αξιολογούμενης ρύθμισης
field_10_emmesi,ΕΜΜΕΣΗ,Σημειώνεται με Χ το αντίστοιχο εικονίδιο
field_10_emmesi_comments,"Εάν είναι έμμεση, εξηγήστε:",Καταγράφεται σε τι συνίσταται η έμμεση συμβολή του προτεινόμενου πληροφοριακού συστήματος για την εφαρμογή των στόχων της αξιολογούμενης ρύθμισης
Field_11,11. Το προβλεπόμενο πληροφοριακό σύστημα είναι συμβατό με την εκάστοτε ψηφιακή στρατηγική της χώρας (Βίβλος Ψηφιακού Μετασχηματισμού),Σημειώνεται με Χ το αντίστοιχο εικονίδιο  (ναι ή όχι )
field_11_comments,Εξηγήστε,"Σε περίπτωση θετικής απάντησης, να γίνει αναφορά στο κεφάλαιο της Βίβλου Ψηφιακού Μετασχηματισμού που περιγράφει την εν λόγω ανάγκη. Σε αντίθετη περίπτωση (μη συμβατότητας), απαιτείται ειδική αιτιολογία."
Field_12,12. Διασφαλίζεται η διαλειτουργικότητα του εν λόγω πληροφοριακού συστήματος με άλλα υφιστάμενα συστήματα,Επιλέγεται με Χ το αντίστοιχο εικονίδιο  (ναι ή όχι ) 
field_12_comments,Αναφέρατε ποια είναι αυτά τα συστήματα:,Στην περίπτωση θετικής απάντησης να τεκμηριωθεί ότι το προβλεπόμενο πληροφοριακό σύστημα λαμβάνει υπόψη το υφιστάμενο ψηφιακό περιβάλλον και συνδέεται με αυτό. Σε αντίθετη περίπτωση (έλλειψη διαλειτουργικότητας) απαιτείται να παρασχεθεί ειδική αιτιολογία
Field_13,13. Έχει προηγηθεί μελέτη βιωσιμότητας του προβλεπόμενου πληροφοριακού συστήματος,Επιλέγεται με Χ το αντίστοιχο εικονίδιο  (ναι ή όχι ) 
Field_13_comments,Εξηγήστε,"Στην περίπτωση ειδικής έκθεσης, να γίνει αναφορά στον τίτλο της και να περιγραφεί συνοπτικά το περιεχόμενό της. Σε αντίθετη περίπτωση (έλλειψη μελέτης) απαιτείται να καταγραφούν οι αντίστοιχες πληροφορίες που θα τεκμηριώνουν ότι δεν υπάρχουν εμπόδια στην εφαρμογή και βιωσιμότητα του συστήματος."
index_fourteen,14.Σύνοψη στόχων κάθε άρθρου,Επεξηγούνται οι επιδιωκόμενοι στόχοι κάθε άρθρου.
index_article,Άρθρο,Αναγράφεται ο αριθμός του κάθε άρθρου.
index_goal,Στόχος,Αποφεύγεται η απλή επανάληψη του περιεχομένου του κάθε άρθρου με άλλες λέξεις.
,Β. Έκθεση του άρθρου 75 παρ. 1 ή 2 του Συντάγματος,
,Απαιτείται η Έκθεση του Γενικού Λογιστηρίου του Κράτους,"Επιλέγεται το εικονίδιο, όταν έχει ολοκληρωθεί η σύνταξη της Ανάλυσης προκειμένου να ενημερωθεί το ΓΛΚ και να συμπληρώσει τα σχετικά πεδία."
,Στο σχέδιο νόμου του Υπουργείου Στο σχέδιο νόμου ή στην τροπολογία επί του σχεδίου νόμου,Αναγράφεται ο τίτλος του σχεδίου νόμου
,ή επί τροπολογίας στο σχέδιο νόμου του Υπουργείου του Υπουργείου,Αναγράφεται το Υπουργείο
,15.Συνοπτική ανάλυση των άρθρων της αξιολογούμενης ρύθμισης,Σύντομη ανάλυση προκειμένου να αιτιολογηθούν τα ποσά που προβλέπονται για κάθε άρθρο
,16. Οικονομικά αποτελέσματα επί του Κρατικού Προϋπολογισμού ή/και επί του προϋπολογισμού του/των αρμόδιου/ων φορέα/ων ,"Θα πρέπει να περιορισθεί το φαινόμενο εκθέσεων που αναφέρουν ότι δεν μπορεί να προσδιορισθεί το κόστος.  Ακόμη και εάν δεν υπάρχουν βεβαιωμένα στοιχεία, κρίνεται σκόπιμο να παρατίθενται τυχόν προβλέψεις (π.χ.  για τον αριθμό των δικαιούχων ενός ωφελήματος) και εν ανάγκη να γίνονται ορισμένες υποθετικές παραδοχές."
,Επί του Κρατικού Προϋπολογισμού,
,Επί του Προϋπολογισμού του/των αρμόδιου/ων φορέα/ων,
,Ο/Η ΥΠΟΓΡΑΦΩΝ ΓΕΝΙΚΟΣ ΔΙΕΥΘΥΝΤΗΣ Ο/Η ΥΠΟΓΡΑΦΩΝ/ΟΥΣΑ ΓΕΝΙΚΟΣ/Η ΔΙΕΥΘΥΝΤΗΣ/ΡΙΑ (Όνομα Επώνυμο Ιδιότητα),
,Γ. Έκθεση του άρθρου 75 παρ. 3 του Συντάγματος,
,Στο σχέδιο νόμου του Υπουργείου Στο σχέδιο νόμου ή στην τροπολογία επί του σχεδίου νόμου,Αναγράφεται ο τίτλος του σχεδίου νόμου
,ή επί τροπολογίας στο σχέδιο νόμου του Υπουργείου του Υπουργείου,Αναγράφεται το Υπουργείο
,17.Οικονομικά αποτελέσματα:,"Αναγράφονται οι εκτιμώμενες δαπάνες ή ελάττωση εσόδων και ο τρόπος κάλυψής τους, χωρίς γενικότητες. Σε περίπτωση που η αξιολογούμενη ρύθμιση αφορά σε συντάξεις είναι αναγκαίο να αναγράφεται εάν έχει προηγηθεί αναλογιστική μελέτη και σε θετική περίπτωση να επισυνάπτεται.
"
,"ΟΙ ΥΠΟΓΡΑΦΟΝΤΕΣ ΥΠΟΥΡΓΟΙ (Όνομα, Επώνυμο, Ιδιότητα)",
,Δ. Έκθεση γενικών συνεπειών,
,18. Οφέλη αξιολογούμενης ρύθμισης,Σημειώνεται/νονται με Χ μόνο η στήλη ή οι στήλες που αντιστοιχεί/ούν στο συγκεκριμένο όφελος ανάλογα με τη θεματική στην οποία αφορά.
,ΟΦΕΛΗ ΡΥΘΜΙΣΗΣ,"Στην έννοια του οφέλους περιλαμβάνονται τα οφέλη που μπορούν να αποτιμηθούν σε χρήμα (π.χ. αύξηση κρατικών εσόδων ή μείωση δαπανών ή βελτίωση του εισοδήματος του πληθυσμού ή πληθυσμιακών ομάδων), αλλά και όσα δεν αποτιμώνται χρηματικά (π.χ. η παροχή βελτιωμένων υπηρεσιών προς τους πολίτες και τις επιχειρήσεις, η ταχύτερη λειτουργία των δημοσίων υπηρεσιών, η βελτίωση της ποιότητας ζωής των πολιτών)"
,"ΘΕΣΜΟΙ, ΔΗΜΟΣΙΑ ΔΙΟΙΚΗΣΗ, ΔΙΑΦΑΝΕΙΑ",
,"ΑΓΟΡΑ, ΟΙΚΟΝΟΜΙΑ, ΑΝΤΑΓΩΝΙΣΜΟΣ",
,ΚΟΙΝΩΝΙΑ & ΚΟΙΝΩΝΙΚΕΣ ΟΜΑΔΕΣ,
,"ΦΥΣΙΚΟ, ΑΣΤΙΚΟ ΚΑΙ ΠΟΛΙΤΙΣΤΙΚΟ ΠΕΡΙΒΑΛΛΟΝ",
,ΝΗΣΙΩΤΙΚΟΤΗΤΑ,
,Αύξηση εσόδων,
,Μείωση δαπανών,
,Εξοικονόμηση χρόνου,
,Μεγαλύτερη αποδοτικότητα,
,Άλλο,
,Βελτίωση παρεχόμενων υπηρεσιών,
,Δίκαιη μεταχείριση πολιτών,
,Αυξημένη αξιοπιστία / διαφάνεια θεσμών,
,Βελτιωμένη διαχείριση κινδύνων,
,Άλλο,
,Σχολιασμός / ποιοτική αποτίμηση:,"Μόνο για τα σημεία εκείνα που επιλέχθηκαν, να γίνει μία ποιοτική αποτίμηση όσον αφορά στα οφέλη της αξιολογούμενης ρύθμισης σε σχέση με τη θεματική"
,19. Κόστος αξιολογούμενης ρύθμισης,Σημειώνεται/νονται με Χ μόνο η στήλη ή οι στήλες που αντιστοιχεί/ούν στο συγκεκριμένο κόστος ανάλογα με τη θεματική στην οποία αφορά.
,ΚΟΣΤΟΣ ΡΥΘΜΙΣΗΣ,"Στην έννοια του κόστους δεν περιλαμβάνεται η ποσοτική αποτίμηση του δημοσιονομικού κόστους (για το οποίο συντάσσεται ειδικά η έκθεση του ΓΛΚ), αλλά ο εντοπισμός των παραγόντων που θα το προκαλέσουν, καθώς και η αναφορά του μη αποτιμητού σε χρήμα κόστους (π.χ. επιβάρυνση δημοσίων υπηρεσιών, των δικαστηρίων και των ελεγκτικών μηχανισμών, συνέπειες στην οικονομία εν γένει)"
,Σχεδιασμός / προετοιμασία,
,Υποδομή / εξοπλισμός,
,Προσλήψεις / κινητικότητα,
,Ενημέρωση εκπαίδευση εμπλεκομένων,
,Άλλο,
,Στήριξη και λειτουργία διαχείρισης,
,Διαχείριση αλλαγών κατά την εκτέλεση,
,Κόστος συμμετοχής στη νέα ρύθμιση,
,Άλλο,
,Σχολιασμός / ποιοτική αποτίμηση:,"Μόνο για τα σημεία εκείνα που επιλέχθηκαν, να γίνει μία ποιοτική αποτίμηση ως προς τον προσδιορισμό της σχέσης «κόστους – αποτελεσματικότητας», «κόστους- χρησιμότητας» και «κόστους – κοινωνικού οφέλους»"
,20. Κίνδυνοι αξιολογούμενης ρύθμισης,Σημειώνεται/νονται με Χ μόνο η στήλη ή οι στήλες που αντιστοιχεί/ούν στον συγκεκριμένο κίνδυνο ανάλογα με τη θεματική στην οποία αφορά.
,ΚΙΝΔΥΝΟΙ ΡΥΘΜΙΣΗΣ,"Ο κίνδυνος αποτελεί μία αβέβαιη παράμετρο μιας ρύθμισης γι’ αυτό στο πεδίο αυτό έχει σημασία, πέραν της επισήμανσης τυχόν κινδύνων (π.χ. πιθανότητα καθυστέρησης εφαρμογής της ρύθμισης λόγω δικαστικών εμπλοκών), να αναδειχθούν -εάν προβλέπονται- μηχανισμοί ή διαδικασίες για την έγκαιρη αντιμετώπισή /περιορισμό / αποτροπή τους."
,Αναγνώριση / εντοπισμός κινδύνου,
,Διαπίστωση συνεπειών κινδύνων στους στόχους,
,Σχεδιασμός αποτροπής / αντιστάθμισης κινδύνων,
,Άλλο,
,Πιλοτική εφαρμογή,
,Ανάδειξη καλών πρακτικών κατά την υλοποίηση της ρύθμισης,
,Συνεχής αξιολόγηση διαδικασιών διαχείρισης κινδύνων,
,Άλλο,
,Σχολιασμός / ποιοτική αποτίμηση:,"Μόνο για τα σημεία εκείνα που επιλέχθηκαν, να γίνει μία ποιοτική αποτίμηση του/των κινδύνου/νων και του τρόπου αντιμετώπισής του/ς."
,21.Γνώμες ή πορίσματα αρμόδιων υπηρεσιών και ανεξάρτητων αρχών (ηλεκτρονική επισύναψη).,"Συμπληρώνεται μόνο εάν συντρέχει τέτοια περίπτωση και αναφέρονται ποιοι είναι αυτοί οι φορείς, αλλά και επισυνάπτεται η Γνώμη ή το κείμενο απόψεων που υποβλήθηκε.
"
,Ειδική αιτιολογία σε περίπτωση σημαντικής απόκλισης μεταξύ της γνωμοδότησης και της αξιολογούμενης ρύθμισης.,Αιτιολογείται η τυχόν σημαντική απόκλιση μεταξύ της γνωμοδότησης και της αξιολογούμενης ρύθμισης
,Ε. Έκθεση διαβούλευσης,
,22. Διαβούλευση κατά τη διάρκεια της νομοπαρασκευαστικής διαδικασίας από την έναρξη κατάρτισης της αξιολογούμενης ρύθμισης μέχρι την υπογραφή από τους συναρμόδιους Υπουργούς,Περιγράφεται συνοπτικά η διαβούλευση κατά τη νομοπαρασκευαστική διαδικασία και ακολούθως σημειώνεται με Χ το αντίστοιχο εικονίδιο
,Συνεργασία με άλλα υπουργεία / υπηρεσίες,Αναφέρονται τα υπουργεία/υπηρεσίες (εάν συντρέχει τέτοια περίπτωση)
,Συνεργασία με κοινωνικούς φορείς / Ανεξάρτητες Αρχές,Αναφέρονται οι κοινωνικοί φορείς / Ανεξάρτητες Αρχές (εάν συντρέχει τέτοια περίπτωση)
,Διεθνής διαβούλευση,Αναφέρονται οι ευρωπαϊκοί και διεθνείς φορείς και οι αντίστοιχοι φορείς άλλων κρατών (εάν συντρέχει τέτοια περίπτωση)
,23.Σχόλια στο πλαίσιο της διαβούλευσης μέσω της ηλεκτρονικής πλατφόρμας www.opengov.gr (ηλεκτρονική επισύναψη της έκθεσης).,Παρατίθενται συνοπτικά και ομαδοποιημένα (αν είναι μεγάλος ο αριθμός τους για κάποια ζητήματα) τα σχόλια που έγιναν και ο αριθμός των συμμετασχόντων στη συγκεκριμένη μορφή διαβούλευσης
,Επί των γενικών αρχών («επί της αρχής») της αξιολογούμενης ρύθμιση,
,Αριθμός συμμετασχόντων,Καταγράφεται ο αριθμός συμμετασχόντων επί των γενικών αρχών της αξιολογούμενης ρύθμισης
,Σχόλια που υιοθετήθηκαν,Αναφέρονται τα άρθρα που οριστικοποιήθηκαν με την αποδοχή σχολίων
,Σχόλια που δεν υιοθετήθηκαν (συμπεριλαμβανομένης επαρκούς αιτιολόγησης),Αναφέρονται τα σχόλια που δεν έγιναν αποδεκτά και δίνεται σχετική επεξήγηση
,Επί των άρθρων της αξιολογούμενης ρύθμισης,
,Αριθμός συμμετασχόντων,Καταγράφεται ο αριθμός συμμετασχόντων επί των άρθρων της αξιολογούμενης ρύθμισης
,Σχόλια που υιοθετήθηκαν,Αναφέρονται τα άρθρα που οριστικοποιήθηκαν με την αποδοχή σχολίων
,Σχόλια που δεν υιοθετήθηκαν (συμπεριλαμβανομένης επαρκούς αιτιολόγησης),Αναφέρονται τα σχόλια που δεν έγιναν αποδεκτά και δίνεται σχετική επεξήγηση
,Στ. Έκθεση νομιμότητας,
,24.Συναφείς συνταγματικές διατάξεις,Αναφέρονται οι συνταγματικές διατάξεις που άμεσα ή έμμεσα σχετίζονται με το αντικείμενο της προτεινόμενης ρύθμισης
,25. Ενωσιακό δίκαιο,"Σημειώνεται με Χ το αντίστοιχο εικονίδιο και αναφέρονται οι συναφείς δεσμευτικές πράξεις του δικαίου της ΕΕ που διαμορφώνουν το πλαίσιο, εντός του οποίου οφείλει να κινηθεί η αξιολογούμενη ρύθμιση.
"
,Πρωτογενές ενωσιακό δίκαιο (συμπεριλαμβανομένου του Χάρτη Θεμελιωδών Δικαιωμάτων),Αρκεί η απλή αναφορά. Παράδειγμα: Άρθρα 122 και 194 της Συνθήκης για τη λειτουργία της ΕΕ (ΣΛΕΕ).
,Κανονισμός,"Αρκεί η απλή αναφορά. Παράδειγμα: Κανονισμός (EE) 2015/478 του Ευρωπαϊκού Κοινοβουλίου και του Συμβουλίου, της 11ης Μαρτίου 2015, περί κοινού καθεστώτος εισαγωγών, ΕΕ L 83, 27.3.2015"
,Οδηγία,"Αρκεί η απλή αναφορά. Παράδειγμα: Οδηγία 2010/31/ΕΕ του Ευρωπαϊκού Κοινοβουλίου και του Συμβουλίου, της 19ης Μαΐου 2010, για την ενεργειακή απόδοση των κτιρίων, ΕΕ L 153, 18.6.2010"
,Απόφαση,"Αρκεί η απλή αναφορά. Παράδειγμα: Απόφαση (EE) 2020/1573 της Επιτροπής, της 28ης Οκτωβρίου 2020 "
,26.Συναφείς διατάξεις διεθνών συνθηκών ή συμφωνιών,"Επιλέγεται με Χ το αντίστοιχο εικονίδιο και αναφέρονται οι συναφείς διατάξεις των εν λόγω κειμένων
"
,Ευρωπαϊκή Σύμβαση Δικαιωμάτων του Ανθρώπου,Αρκεί η απλή αναφορά. Παράδειγμα: Άρθρο 8 της Ευρωπαϊκής Σύμβασης των Δικαιωμάτων του Ανθρώπου
,Διεθνείς συμβάσεις,Αρκεί η απλή αναφορά. Παράδειγμα: Άρθρο 4 παρ. 1 περ. (α) της Σύμβασης Πλαίσιο των Ηνωμένων Εθνών για την κλιματική αλλαγή
,"27. Συναφής νομολογία των ανωτάτων και άλλων εθνικών δικαστηρίων, καθώς και αποφάσεις των Ανεξάρτητων Αρχών","Επιλέγεται με Χ το αντίστοιχο εικονίδιο και αναγράφονται συναφείς δικαστικές αποφάσεις και αποφάσεις / γνώμες  Ανεξάρτητων Αρχών (συνταγματικά ή μη κατοχυρωμένων), εάν αποτέλεσαν την αιτία για την πρόταση της ρύθμισης"
,Ανώτατο ή άλλο εθνικό δικαστήριο ,Αρκεί η απλή αναφορά. Παράδειγμα: ΣτΕ (Γ’ Τμήμα) 407/2010
,"Ανεξάρτητη Αρχή
",Αρκεί η απλή αναφορά. Παράδειγμα: ΑΣΕΠ (Ολομέλεια) 2/2017
,28. Συναφής ευρωπαϊκή και διεθνής νομολογία,"Επιλέγεται με Χ το αντίστοιχο εικονίδιο και αναγράφονται συναφείς δικαστικές αποφάσεις, εάν αποτέλεσαν την αιτία για την πρόταση της ρύθμισης"
,"Νομολογία Δικαστηρίου Ε.Ε. 
","Αρκεί η απλή αναφορά. Παράδειγμα: Απόφαση του Δικαστηρίου (πρώτο τμήμα) της 5ης Δεκεμβρίου 2019, Ordre des avocats du barreau de Dinant κατά JN"
,Νομολογία Ευρωπαϊκού Δικαστηρίου Δικαιωμάτων του Ανθρώπου,Αρκεί η απλή αναφορά. Παράδειγμα: ΕΔΔΑ Petrescu κατά Πορτογαλίας της 3-12-2019 (αρ. προσφυγής 23190/17).
,Άλλα ευρωπαϊκά ή διεθνή δικαστήρια ή διαιτητικά όργανα ,
,Ζ. Πίνακας τροποποιούμενων ή καταργούμενων διατάξεων,
,29.Τροποποίηση – αντικατάσταση – συμπλήρωση διατάξεων,"Αναφέρονται οι διατάξεις των οποίων το περιεχόμενο τροποποιείται/αντικαθίσταται ή συμπληρώνεται με την προσθήκη νέου εδαφίου ή παραγράφου
"
,Διατάξεις αξιολογούμενης ρύθμισης,Παρατίθεται η νέα διατύπωση σύμφωνα με τα προτεινόμενα άρθρα της αξιολογούμενης ρύθμισης
,Υφιστάμενες διατάξεις,Παρατίθενται οι διατάξεις των άρθρων που τροποποιούνται / αντικαθίστανται / συμπληρώνονται
,30.Κατάργηση διατάξεων,"Αναφέρονται οι διατάξεις που καταργούνται, χωρίς να αντικαθίστανται από άλλες"
,Διατάξεις αξιολογούμενης ρύθμισης που προβλέπουν  κατάργηση,Αναγράφονται οι διατάξεις της αξιολογουμενης ρύθμισης που προβλέπουν κατάργηση 
