13,Έκθεση του άρθρου 75 παρ. 1 και 2 του Συντάγματος,Έκθεση Γενικού Λογιστηρίου του Κράτους (άρθρο 75 παρ. 1 ή 2 του Συντάγματος),,,,,,,,,,,,,,
14,Έκθεση Γενικού Λογιστηρίου του Κράτους ,Συνοπτική ανάλυση των άρθρων της αξιολογούμενης ρύθμισης (πεδίο 15),,,,,,,,,,,,,,
15,Οικονομικά αποτελέσματα επί του Κρατικού Προϋπολογισμού ή/και επί του προϋπολογισμού του/των αρμόδιου/ων φορέα/ων ,Οικονομικά αποτελέσματα επί του Κρατικού Προϋπολογισμού ή/και επί του προϋπολογισμού του/των αρμόδιου/ων φορέα/ων (πεδίο 16),,,,,,,,,,,,,,
16,Β. Έκθεση του άρθρου 75 παρ. 1 και 2 του Συντάγματος,Β. Έκθεση Γενικού Λογιστηρίου του Κράτους (άρθρο 75 παρ. 1 ή 2 του Συντάγματος),ΕΣΩΤΕΡΙΚΗ ΣΕΛΙΔΑ,,,,,,,,,,,,,
17,Έκθεση Γενικού Λογιστηρίου του Κράτους ,-,,,,,,,,,,,,,,
18,Στο σχέδιο νόμου του Υπουργείου,Στο σχέδιο νόμου ή στην τροπολογία επί του σχεδίου νόμου,,,,,,,,,,,,,,
19,ή επί τροπολογίας στο σχέδιο νόμου του Υπουργείου,του Υπουργείου,,,,,,,,,,,,,,
20,15.Συνοπτική ανάλυση των άρθρων της αξιολογούμενης ρύθμισης,15.Συνοπτική ανάλυση των άρθρων της αξιολογούμενης ρύθμισης,,"ΣΤΟΝ ΤΙΤΛΟ ""15.Συνοπτική ανάλυση των άρθρων της αξιολογούμενης ρύθμισης"" ΠΙΟ ΜΕΓΑΛΑ ΓΡΑΜΜΑΤΑ ΟΜΟΙΑ ΜΕ ΤΙΤΛΟ ""16. Οικονομικά αποτελέσματα ….""",,,,,,,,,,,,
22,16. Οικονομικά αποτελέσματα επί του Κρατικού Προϋπολογισμού ή/και επί του προϋπολογισμού του/των αρμόδιου/ων φορέα/ων ,16. Οικονομικά αποτελέσματα επί του Κρατικού Προϋπολογισμού ή/και επί του προϋπολογισμού του/των αρμόδιου/ων φορέα/ων ,,,,,,,,,,,,,,
21,Ο/Η ΥΠΟΓΡΑΦΩΝ ΓΕΝΙΚΟΣ ΔΙΕΥΘΥΝΤΗΣ,Ο/Η ΥΠΟΓΡΑΦΩΝ/ΟΥΣΑ ΓΕΝΙΚΟΣ/Η ΔΙΕΥΘΥΝΤΗΣ/ΡΙΑ,,,,,,,,,,,,,,
23,Ειδική Έκθεση (άρθρο 75 παρ. 3 του Συντάγματος),Ειδική Έκθεση (άρθρο 75 παρ. 3 του Συντάγματος),ΠΙΝΑΚΑΣ ΠΕΡΙΕΧΟΜΕΝΩΝ                 (ΑΡΧΙΚΗ ΣΕΛΙΔΑ),,,,,,,,,,,,,
24,Οικονομικά αποτελέσματα ,Οικονομικά αποτελέσματα (πεδίο 17),,,,,,,,,,,,,,
25,Γ. Ειδική Έκθεση,Γ. Ειδική Έκθεση (άρθρο 75 παρ. 3 του Συντάγματος),ΕΣΩΤΕΡΙΚΗ ΣΕΛΙΔΑ,,,,,,,,,,,,,
26,Στο σχέδιο νόμου του Υπουργείου,Στο σχέδιο νόμου ή στην τροπολογία επί του σχεδίου νόμου,,,,,,,,,,,,,,
28,ή επί τροπολογίας στο σχέδιο νόμου του Υπουργείου,του Υπουργείου,,,,,,,,,,,,,,
29,17. Οικονομικά αποτελέσματα ,17. Οικονομικά αποτελέσματα ,,,,,,,,,,,,,,
30,Έκθεση γενικών συνεπειών,Έκθεση γενικών συνεπειών,ΠΙΝΑΚΑΣ ΠΕΡΙΕΧΟΜΕΝΩΝ                 (ΑΡΧΙΚΗ ΣΕΛΙΔΑ),,,,,,,,,,,,,
31,Οφέλη αξιολογούμενης ρύθμισης,Οφέλη αξιολογούμενης ρύθμισης (πεδίο 18),,,,,,,,,,,,,,
32,Κόστος αξιολογούμενης ρύθμισης,Κόστος αξιολογούμενης ρύθμισης (πεδίο 19),,,,,,,,,,,,,,
33,Κόστος αξιολογούμενης ρύθμισης,Κίνδυνοι αξιολογούμενης ρύθμισης (πεδίο 20),,,,,,,,,,,,,,
34,Γνώμες ή πορίσματα αρμόδιων υπηρεσιών και ανεξάρτητων αρχών,Γνώμες ή πορίσματα αρμόδιων υπηρεσιών και ανεξάρτητων αρχών (πεδίο 21),,,,,,,,,,,,,,
35,Δ. Έκθεση γενικών συνεπειών,Δ. Έκθεση γενικών συνεπειών,ΕΣΩΤΕΡΙΚΗ ΣΕΛΙΔΑ,,,,,,,,,,,,,
36,18. Οφέλη αξιολογούμενης ρύθμισης,18. Οφέλη αξιολογούμενης ρύθμισης,,,,,,,,,,,,,,
37,19. Κόστος αξιολογούμενης ρύθμισης,19. Κόστος αξιολογούμενης ρύθμισης,,,,,,,,,,,,,,
38,20. Κίνδυνοι αξιολογούμενης ρύθμισης,20. Κίνδυνοι αξιολογούμενης ρύθμισης,,,,,,,,,,,,,,
39,21. Γνώμες ή πορίσματα αρμόδιων υπηρεσιών και ανεξάρτητων αρχών,21. Γνώμες ή πορίσματα αρμόδιων υπηρεσιών και ανεξάρτητων αρχών,,ΜΕΓΑΛΥΤΕΡΑ ΓΡΑΜΜΑΤΑ ΣΤΟΝ ΤΙΤΛΟ 21 (ΒΛ. ΤΙΤΛΟΥΣ 18-20),,,,,,,,,,,,
40,Έκθεση διαβούλευσης,Έκθεση διαβούλευσης,ΠΙΝΑΚΑΣ ΠΕΡΙΕΧΟΜΕΝΩΝ                 (ΑΡΧΙΚΗ ΣΕΛΙΔΑ),,,,,,,,,,,,,
41,Διαβούλευση κατά τη διάρκεια της νομοπαρασκευαστικής διαδικασίας από την έναρξη κατάρτισης της αξιολογούμενης ρύθμισης μέχρι την υπογραφή από τους συναρμόδιους Υπουργούς.,Διαβούλευση κατά τη διάρκεια της νομοπαρασκευαστικής διαδικασίας από την έναρξη κατάρτισης της αξιολογούμενης ρύθμισης μέχρι την υπογραφή από τους συναρμόδιους Υπουργούς (πεδίο 22),,,,,,,,,,,,,,
42,Σχόλια στο πλαίσιο της διαβούλευσης μέσω της ηλεκτρονικής πλατφόρμας www.opengov.gr . ,Σχόλια στο πλαίσιο της διαβούλευσης μέσω της ηλεκτρονικής πλατφόρμας www.opengov.gr (πεδίο 23) ,,,,,,,,,,,,,,
43,Ε. Έκθεση διαβούλευσης,Ε. Έκθεση διαβούλευσης,ΕΣΩΤΕΡΙΚΗ ΣΕΛΙΔΑ,,,,,,,,,,,,,
44,22. Διαβούλευση κατά τη διάρκεια της νομοπαρασκευαστικής διαδικασίας από την έναρξη κατάρτισης της αξιολογούμενης ρύθμισης μέχρι την υπογραφή από τους συναρμόδιους Υπουργούς.,22. Διαβούλευση κατά τη διάρκεια της νομοπαρασκευαστικής διαδικασίας από την έναρξη κατάρτισης της αξιολογούμενης ρύθμισης μέχρι την υπογραφή από τους συναρμόδιους Υπουργούς.,,,,,,,,,,,,,,
45,23. Σχόλια στο πλαίσιο της διαβούλευσης μέσω της ηλεκτρονικής πλατφόρμας www.opengov.gr (ηλεκτρονική επισύναψη της έκθεσης). ,23. Σχόλια στο πλαίσιο της διαβούλευσης μέσω της ηλεκτρονικής πλατφόρμας www.opengov.gr (ηλεκτρονική επισύναψη της έκθεσης). ,,,,,,,,,,,,,,
46,"επί των γενικών αρχών (""επί της αρχής"") της αξιολογούμενης ρύθμισης","επί των γενικών αρχών (""επί της αρχής"") της αξιολογούμενης ρύθμισης",,,,,,,,,,,,,,
47,Έκθεση νομιμότητας,Έκθεση νομιμότητας,ΠΙΝΑΚΑΣ ΠΕΡΙΕΧΟΜΕΝΩΝ                 (ΑΡΧΙΚΗ ΣΕΛΙΔΑ),,,,,,,,,,,,,
48,Συναφείς συνταγματικές διατάξεις,Συναφείς συνταγματικές διατάξεις (πεδίο 24),,,,,,,,,,,,,,
49,Ενωσιακό δίκαιο,Ενωσιακό δίκαιο (πεδίο 25),,,,,,,,,,,,,,
50,Συναφείς διατάξεις διεθνών συνθηκών ή συμφωνιών,Συναφείς διατάξεις διεθνών συνθηκών ή συμφωνιών (πεδίο 26),,,,,,,,,,,,,,
51,"Συναφής νομολογία των ανωτάτων και άλλων εθνικών δικαστηρίων, καθώς και αποφάσεις Ανεξάρτητων Αρχών","Συναφής νομολογία των ανωτάτων και άλλων εθνικών δικαστηρίων, καθώς και αποφάσεις Ανεξάρτητων Αρχών (πεδίο 27)",,,,,,,,,,,,,,
52,Συναφής ευρωπαϊκή και διεθνής νομολογία,Συναφής ευρωπαϊκή και διεθνής νομολογία (πεδίο 28),,,,,,,,,,,,,,
53,Στ. Έκθεση νομιμότητας,Στ. Έκθεση νομιμότητας,ΕΣΩΤΕΡΙΚΗ ΣΕΛΙΔΑ,,,,,,,,,,,,,
54,24. Συναφείς συνταγματικές διατάξεις,24. Συναφείς συνταγματικές διατάξεις,,ΜΕΓΑΛΥΤΕΡΑ ΓΡΑΜΜΑΤΑ ΣΤΟΥΣ ΤΙΤΛΟΥΣ 24 - 28 (ΒΛ. ΠΑΡΟΜΟΙΟΥΣ ΤΙΤΛΟΥΣ),,,,,,,,,,,,
55,25. Ενωσιακό δίκαιο,25. Ενωσιακό δίκαιο,,,,,,,,,,,,,,
56,26. Συναφείς διατάξεις διεθνών συνθηκών ή συμφωνιών,26. Συναφείς διατάξεις διεθνών συνθηκών ή συμφωνιών,,,,,,,,,,,,,,
57,"27. Συναφής νομολογία των ανωτάτων και άλλων εθνικών δικαστηρίων, καθώς και αποφάσεις Ανεξάρτητων Αρχών","27. Συναφής νομολογία των ανωτάτων και άλλων εθνικών δικαστηρίων, καθώς και αποφάσεις Ανεξάρτητων Αρχών",,,,,,,,,,,,,,
58,28. Συναφής ευρωπαϊκή και διεθνής νομολογία,28. Συναφής ευρωπαϊκή και διεθνής νομολογία,,,,,,,,,,,,,,
59,Πίνακας τροποποιούμενων ή καταργούμενων διατάξεων,Πίνακας τροποποιούμενων ή καταργούμενων διατάξεων,ΠΙΝΑΚΑΣ ΠΕΡΙΕΧΟΜΕΝΩΝ                 (ΑΡΧΙΚΗ ΣΕΛΙΔΑ),,,,,,,,,,,,,
60,Τροποποίηση – αντικατάσταση – συμπλήρωση διατάξεων,Τροποποίηση – αντικατάσταση – συμπλήρωση διατάξεων (πεδίο 29),,,,,,,,,,,,,,
58,Κατάργηση διατάξεων,Κατάργηση διατάξεων (πεδίο 30),,,,,,,,,,,,,,
59,Ζ. Πίνακας τροποποιούμενων ή καταργούμενων διατάξεων,Ζ. Πίνακας τροποποιούμενων ή καταργούμενων διατάξεων,ΕΣΩΤΕΡΙΚΗ ΣΕΛΙΔΑ,,,,,,,,,,,,,
60,29. Τροποποίηση – αντικατάσταση – συμπλήρωση διατάξεων,29. Τροποποίηση – αντικατάσταση – συμπλήρωση διατάξεων,,"ΣΤΟΝ ΤΙΤΛΟ ""29. Τροποποίηση - αντικατάσταση - συμπλήρωση διατάξεων"" ΠΙΟ ΜΕΓΑΛΑ ΓΡΑΜΜΑΤΑ (ΒΛ. ΠΑΡΟΜΟΙΟΥΣ ΤΙΤΛΟΥΣ) ΚΑΙ ΝΑ ΕΙΝΑΙ ΕΚΤΟΣ ΠΙΝΑΚΑ",,,,,,,,,,,,
61,30. Κατάργηση διατάξεων,30. Κατάργηση διατάξεων,,"ΣΤΟΝ ΤΙΤΛΟ ""30. Κατάργηση διατάξεων"" ΠΙΟ ΜΕΓΑΛΑ ΓΡΑΜΜΑΤΑ (ΒΛ. ΠΑΡΟΜΟΙΟΥΣ ΤΙΤΛΟΥΣ) ΚΑΙ ΝΑ ΕΙΝΑΙ ΕΚΤΟΣ ΠΙΝΑΚΑ",,,,,,,,,,,,
62,Έκθεση εφαρμογής της ρύθμισης,Έκθεση εφαρμογής της ρύθμισης,ΠΙΝΑΚΑΣ ΠΕΡΙΕΧΟΜΕΝΩΝ                 (ΑΡΧΙΚΗ ΣΕΛΙΔΑ),,,,,,,,,,,,,
63,Συναρμοδιότητα Υπουργείων / υπηρεσιών / φορέων,Συναρμοδιότητα Υπουργείων / υπηρεσιών / φορέων (πεδίο 31),,,,,,,,,,,,,,
64,Έκδοση κανονιστικών πράξεων και εγκυκλίων,Έκδοση κανονιστικών πράξεων και εγκυκλίων (πεδία 32),,,,,,,,,,,,,,
65,"Ανάγκη σύστασης νέου νομικού προσώπου, ανώνυμης εταιρίας ή δημόσιας υπηρεσίας","Ανάγκη σύστασης νέου νομικού προσώπου, ανώνυμης εταιρίας ή δημόσιας υπηρεσίας (πεδία 33-36)",,,,,,,,,,,,,,
66,"Στοιχεία νέου νομικού προσώπου, ανώνυμης εταιρίας ή δημόσιας υπηρεσίας","Στοιχεία νέου νομικού προσώπου, ανώνυμης εταιρίας ή δημόσιας υπηρεσίας  (πεδία 37-40)",,,,,,,,,,,,,,
67,Η. Έκθεση εφαρμογής της ρύθμισης,Η. Έκθεση εφαρμογής της ρύθμισης,ΕΣΩΤΕΡΙΚΗ ΣΕΛΙΔΑ,,,,,,,,,,,,,
68,31. Συναρμοδιότητα Υπουργείων / υπηρεσιών / φορέων,31. Συναρμοδιότητα Υπουργείων / υπηρεσιών / φορέων,,ΣΤΟΝ ΤΙΤΛΟ 31 ΠΙΟ ΜΕΓΑΛΑ ΓΡΑΜΜΑΤΑ (ΒΛ. ΠΑΡΟΜΟΙΟΥΣ ΤΙΤΛΟΥΣ) ΚΑΙ ΝΑ ΕΙΝΑΙ ΕΚΤΟΣ ΠΙΝΑΚΑ,,,,,,,,,,,,
69,32. Έκδοση κανονιστικών πράξεων και εγκυκλίων,32. Έκδοση κανονιστικών πράξεων και εγκυκλίων,,ΣΤΟΝ ΤΙΤΛΟ 32 ΠΙΟ ΜΕΓΑΛΑ ΓΡΑΜΜΑΤΑ (ΒΛ. ΠΑΡΟΜΟΙΟΥΣ ΤΙΤΛΟΥΣ) ΚΑΙ ΝΑ ΕΙΝΑΙ ΕΚΤΟΣ ΠΙΝΑΚΑ,,,,,,,,,,,,
,ΤΑ ΥΠΟΛΟΙΠΑ ΠΕΔΙΑ 32 - 40 ΩΣ ΕΧΟΥΝ,,,,,,,,,,,,,,,
…,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Tooltips,,,,,,,,,,,,,,,
S/N,fieldId,Όνομα πεδίου,Κείμενο tooltip,,,,,,,,,,,,,
1,,Τίτλος αξιολογούμενης ρύθμισης Τίτλος σχεδίου νόμου,Ο τίτλος πρέπει να είναι μοναδικός,,,,,,,,,,,,,
2,,Αρχική καταχώρηση,Συμπληρώνεται αυτόματα,,,,,,,,,,,,,
3,,Επισπεύδον φορέας Επισπεύδον Υπουργείο,Επισπεύδον Υπουργείο ,,,,,,,,,,,,,
4,,Ρύθμιση την οποία αφορά Τίτλος αξιολογούμενης ρύθμισης,"Αν δεν αφορά συγκεκριμένη ρύθμιση του νομοσχεδίου, το πεδίο παραμένει κενό. ",,,,,,,,,,,,,
5,,Στοιχεία επικοινωνίας,"Αρμόδια υπηρεσία Υπουργείου, τηλέφωνο, e-mail κ.ο.κ.",,,,,,,,,,,,,
6,,Κατάλογος τομέων νομοθέτησης,,,,,,,,,,,,,,
,,Επιλέξατε από τον παρακάτω κατάλογο τον τομέα ή τους τομείς νομοθέτησης στους οποίους αφορούν οι βασικές διατάξεις της αξιολογούμενης ρύθμισης,Ανάλογα με τις επιλογές σας εμφανίζονται οι αντίστοιχοι πίνακες προς συμπλήρωση στο πεδίο 9 «Ειδικότεροι στόχοι ανάλογα με τον τομέα νομοθέτησης».  ,,,,,,,,,,,,,
7,,ΕΚΠΑΙΔΕΥΣΗ - ΠΟΛΙΤΙΣΜΟΣ,Τομέας νομοθέτησης επί θεμάτων Υπουργείου Παιδείας & Θρησκευμάτων και Υπουργείου Πολιτισμού & Αθλητισμού.,,,,,,,,,,,,,
8,,ΕΘΝΙΚΗ ΑΜΥΝΑ - ΕΞΩΤΕΡΙΚΗ ΠΟΛΙΤΙΚΗ,Τομέας νομοθέτησης επί θεμάτων Υπουργείου Εθνικής Άμυνας και Υπουργείου Εξωτερικών.,,,,,,,,,,,,,
9,,ΟΙΚΟΝΟΜΙΚΗ / ΔΗΜΟΣΙΟΝΟΜΙΚΗ / ΦΟΡΟΛΟΓΙΚΗ ΠΟΛΙΤΙΚΗ,Τομέας νομοθέτησης επί θεμάτων Υπουργείου Οικονομικών.,,,,,,,,,,,,,
10,,ΚΟΙΝΩΝΙΚΗ ΠΟΛΙΤΙΚΗ,Τομέας νομοθέτησης επί θεμάτων Υπουργείου Εργασίας και Κοινωνικών Υποθέσεων και Υπουργείου Υγείας.,,,,,,,,,,,,,
11,,ΔΗΜΟΣΙΑ ΔΙΟΙΚΗΣΗ - ΔΗΜΟΣΙΑ ΤΑΞΗ - ΔΙΚΑΙΟΣΥΝΗ,"Τομέας νομοθέτησης επί θεμάτων Υπουργείου Εσωτερικών, Υπουργείου Ψηφιακής Διακυβέρνησης, Υπουργείου Προστασίας του Πολίτη και Υπουργείου Δικαιοσύνης",,,,,,,,,,,,,
12,,ΑΝΑΠΤΥΞΗ - ΕΠΕΝΔΥΤΙΚΗ ΔΡΑΣΤΗΡΙΟΤΗΤΑ,"Τομέας νομοθέτησης επί θεμάτων Υπουργείου Ανάπτυξης & Επενδύσεων, Υπουργείου Περιβάλλοντος & Ενέργειας, Υπουργείου Υποδομών & Μεταφορών, Υπουργείου Ναυτιλίας & Νησιωτικής Πολιτικής, Υπουργείου Αγροτικής Ανάπτυξης & Τροφίμων και Υπουργείου Τουρισμού.",,,,,,,,,,,,,
,,Α. Αιτιολογική έκθεση,,,,,,,,,,,,,,
13,,1. Ποιο ζήτημα αντιμετωπίζει η αξιολογούμενη ρύθμιση,,Εντοπίζεται και καταγράφεται το ζήτημα που επιδιώκει να αντιμετωπίσει η αξιολογούμενη ρύθμιση (συνιστάται η αποφυγή ιστορικής αναδρομής).,,,,,,,,,,,,
14,,2. Γιατί αποτελεί πρόβλημα,,Προσδιορίζονται οι λόγοι που επιβάλλουν την αντιμετώπιση του ζητήματος / Αναφορά στις συγκεκριμένες δυσμενείς συνέπειες που προκαλούνται ή θα προκληθούν μελλοντικά αν δεν ρυθμιστεί το θέμα.,,,,,,,,,,,,
15,,3. Ποιους φορείς ή πληθυσμιακές ομάδες αφορά,,Καταγράφεται η κατηγορία ατόμων ή ομάδων ή φορέων που θα ωφελήσει η εφαρμογή της ρύθμισης / Αναφορά στον εκτιμώμενο αριθμό -εφόσον υπάρχει- ατόμων ή oμάδων ή φορέων που θα επηρεαστούν από την αξιολογούμενη ρύθμιση / Ειδική αναφορά εάν η ρύθμιση αφορά σε συγκεκριμένες ευάλωτες πληθυσμιακές ομάδες.,,,,,,,,,,,,
16,,4. Το εν λόγω ζήτημα έχει αντιμετωπιστεί με νομοθετική ρύθμιση στο παρελθόν,,"Σημειώνεται με Χ το αντίστοιχο εικονίδιο  (ναι ή όχι ) / Η απάντηση είναι θετική εάν υπάρχουν ρυθμίσεις που τροποποιούνται, καταργούνται, συμπληρώνονται ή αντικαθίστανται από την αξιολογούμενη ρύθμιση.",,,,,,,,,,,,
17,,4.1 Ποιο είναι το ισχύον νομικό πλαίσιο που ρυθμίζει το ζήτημα,,"Στην περίπτωση θετικής απάντησης να γίνει μόνο απλή παράθεση των σχετικών ρυθμίσεων με τη μορφή: «Αριθμός νομοθετήματος, αριθμός ΦΕΚ, σχετικό άρθρο, σχετική παράγραφος».",,,,,,,,,,,,
18,,5. Γιατί δεν είναι δυνατό να αντιμετωπιστεί στο πλαίσιο της υφιστάμενης νομοθεσίας:,Παρατίθενται οι λόγοι που οι ισχύουσες νομοθετικές ρυθμίσεις (πεδίο 4) δεν αντιμετωπίζουν το πρόβλημα που περιγράφηκε στο πεδίο 1,,,,,,,,,,,,,
19,,"5.1 με αλλαγή προεδρικού διατάγματος, υπουργικής απόφασης ή άλλης κανονιστικής πράξης;",Παρατίθενται οι λόγοι που μία τέτοια αλλαγή δεν θα αντιμετώπιζε το πρόβλημα που περιγράφηκε στο πεδίο 1,,,,,,,,,,,,,
20,,5.2 με αλλαγή διοικητικής πρακτικής συμπεριλαμβανομένης της δυνατότητας νέας ερμηνευτικής προσέγγισης της υφιστάμενης νομοθεσίας,,Παρατίθενται οι λόγοι που μία τέτοια αλλαγή δεν θα αντιμετώπιζε το πρόβλημα που περιγράφηκε στο πεδίο 1,,,,,,,,,,,,
21,,5.3 με διάθεση περισσότερων ανθρώπινων και υλικών πόρων,,Παρατίθενται οι λόγοι που μία τέτοια λύση δεν θα αντιμετώπιζε το πρόβλημα που περιγράφηκε στο πεδίο 1,,,,,,,,,,,,
22,,6. Έχετε λάβει υπόψη συναφείς πρακτικές,,Σημειώνεται με Χ το αντίστοιχο εικονίδιο  (ναι ή όχι ) / Η απάντηση είναι θετική μόνο εφόσον υπάρχουν συγκρίσιμες πρακτικές που αποδεδειγμένα φέρουν αποτελέσματα.,,,,,,,,,,,,
23,,6.1 Σε άλλη/ες χώρα/ες της Ε.Ε. ή του ΟΟΣΑ:,Καταγράφονται συγκρίσιμες πρακτικές που έχουν εφαρμοστεί σε αντίστοιχες περιπτώσεις σε άλλη/ες χώρα/ες της Ε.Ε. ή του ΟΟΣΑ,,,,,,,,,,,,,
24,,6.2 Σε όργανα της Ε.Ε.:,Καταγράφονται συγκρίσιμες πρακτικές που έχουν εφαρμοστεί σε αντίστοιχες περιπτώσεις σε όργανα της Ε.Ε.,,,,,,,,,,,,,
25,,6.3 Σε διεθνείς οργανισμούς:,Καταγράφονται συγκρίσιμες πρακτικές που έχουν εφαρμοστεί σε αντίστοιχες περιπτώσεις σε διεθνείς οργανισμούς,,,,,,,,,,,,,
26,,7. Σημειώστε ποιοι από τους στόχους βιώσιμης ανάπτυξης των Ηνωμένων Εθνών επιδιώκονται με την αξιολογούμενη ρύθμιση,Σημειώνεται με Χ το/τα εικονίδιο/α από τους 17 στόχους που έχει θέσει ο ΟΗΕ για τη βιώσιμη ανάπτυξη και αντιστοιχεί/ούν στους στόχους της αξιολογούμενης ρύθμισης.,,,,,,,,,,,,,
27,,8. Ποιοι είναι οι στόχοι της αξιολογούμενης ρύθμισης,,"Περιγράφονται οι επιδιωκόμενοι με την αξιολογούμενη ρύθμιση στόχοι και γίνεται διάκριση, όπου συντρέχει περίπτωση, μεταξύ βραχυπρόθεσμων και μακροπρόθεσμων στόχων. ",,,,,,,,,,,,
28,,8.1 βραχυπρόθεσμοι:,Η χρονική περίοδος αναφοράς της έννοιας «βραχυπρόθεσμο» διαφέρει ανάλογα με το αντικείμενο της αξιολογούμενης ρύθμισης και γι’ αυτό εναπόκειται στον συντάκτη της Ανάλυσης ο συγκεκριμένος προσδιορισμός της διάκρισης.,,,,,,,,,,,,,
29,,8.2 μακροπρόθεσμοι:,Η χρονική περίοδος αναφοράς της έννοιας «μακροπρόθεσμο» διαφέρει ανάλογα με το αντικείμενο της αξιολογούμενης ρύθμισης και γι’ αυτό εναπόκειται στον συντάκτη της Ανάλυσης ο συγκεκριμένος προσδιορισμός της διάκρισης.,,,,,,,,,,,,,
30,,9.Ειδικότεροι στόχοι ανάλογα με τον τομέα νομοθέτησης,"Οι δείκτες είναι ενδεικτικοί, επιλέγονται ανάλογα με το αντικείμενο της αξιολογούμενης ρύθμισης, επιδέχονται εμπλουτισμού και μπορούν να προσαρμοστούν στην αξιολογούμενη ρύθμιση. ",,,,,,,,,,,,,
31,,ΑΛΛΟΙ ΠΡΟΤΕΙΝΟΜΕΝΟΙ ΔΕΙΚΤΕΣ,"Δύναται να ενταχθούν εξατομικευμένοι νέοι δείκτες, ανάλογα με το πλαίσιο της αξιολογούμενης ρύθμισης. ",,,,,,,,,,,,,
32,,Εξέλιξη την τελευταία 5ετία,Καταγράφονται τα στοιχεία για τα πέντε έτη πριν από το τρέχον ημερολογιακό έτος.,,,,,,,,"ΑΥΤΆ ΤΑ ΚΕΙΜΕΝΑ TOOLTIP ΝΑ ΕΜΦΑΝΙΖΟΝΤΑΙ ΣΤΙΣ ΑΝΤΙΣΤΟΙΧΕΣ ΣΤΗΛΕΣ ΣΕ ΟΛΟΥΣ ΤΟΥΣ ΣΧΕΤΙΚΟΥΣ ΠΙΝΑΚΕΣ ΤΩΝ ΔΕΙΚΤΩΝ ΚΑΙ ΌΧΙ ΜΟΝΟ ΣΤΟΝ ΠΙΝΑΚΑ ""ΑΛΛΟΙ ΠΡΟΤΕΙΝΟΜΕΝΟΙ ΔΕΙΚΤΕΣ""",,,,,
33,,Πρόσφατα στοιχεία,Καταγράφονται τα στοιχεία του τρέχοντος ημερολογιακού έτους,,,,,,,,,,,,,
34,,Επιδιωκόμενος στόχος (3ετία),Καταγράφονται οι επιδιωκόμενοι με την αξιολογούμενη ρύθμιση στόχοι για την επόμενη τριετία (πλην του τρέχοντος έτους) ,,,,,,,,,,,,,
35,,"10. Σε περίπτωση που προβλέπεται η χρήση πληροφοριακού συστήματος, ποια θα είναι η συμβολή αυτού στην επίτευξη των στόχων της αξιολογούμενης ρύθμισης:",Πρόκειται για μη υποχρεωτικό πεδίο. Συμπληρώνεται στην περίπτωση που προβλέπεται η χρήση πληροφοριακού συστήματος για την επίτευξη των στόχων της αξιολογούμενης ρύθμισης.,,,,,,,,,,,,,
